127.0.0.1 - - [25/Jun/2018:14:45:19 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:46:05 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:46:05 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:46:11 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:46:11 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:46:11 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:46:11 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:46:12 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:49:37 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:49:37 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:49:40 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:49:40 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:49:44 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:49:44 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:49:49 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:49:49 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:49:50 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:49:50 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:50:08 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:50:08 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:50:09 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:50:09 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:50:11 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:50:11 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:50:15 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:50:15 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
