127.0.0.1 - - [13/Jul/2018:22:47:45 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:48:54 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:48:54 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:48:55 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:48:56 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:48:56 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:48:58 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:48:58 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:48:58 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:48:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:49:56 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:49:56 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:49:56 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:49:56 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:49:56 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:49:56 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:50:40 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:50:40 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:50:41 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:50:47 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 500 7779
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:51:32 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:51:32 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:51:32 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:51:35 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:51:35 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:51:35 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:51:35 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [13/Jul/2018:22:51:35 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
