127.0.0.1 - - [21/Aug/2018:12:07:22 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:08:52 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:08:52 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:08:52 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:08:52 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:08:52 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:08:53 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:08:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:09:23 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:09:23 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:09:23 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:09:34 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:09:34 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:09:34 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:09:34 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:09:34 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:09:34 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:09:45 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 500 7779
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:10:38 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:10:38 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:10:38 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:10:38 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:10:38 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:10:38 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:00 +0530] "GET /frontend_proj/all/registrationform HTTP/1.1" 200 7981
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:01 +0530] "GET /frontend_proj/all/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:01 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:01 +0530] "GET /frontend_proj/resources/css/registration.css HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:30 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:30 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:30 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:30 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:30 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:30 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:35 +0530] "GET /frontend_proj/login HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:35 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:35 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:42 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:43 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:43 +0530] "GET /frontend_proj/resources/css/navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:43 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:43 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:11:43 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
