127.0.0.1 - - [14/Sep/2018:16:58:41 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:01:42 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:01:42 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:01:42 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:01:42 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:01:42 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:01:42 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:01:42 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:01:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:23 +0530] "GET /frontend_proj/login HTTP/1.1" 200 3434
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:23 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:23 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:41 +0530] "POST /frontend_proj/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:41 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6700
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:41 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:41 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:41 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:41 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:41 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:54 +0530] "GET /frontend_proj/admin/getproductform HTTP/1.1" 200 5463
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:54 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:02:54 +0530] "GET /frontend_proj/admin/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:13 +0530] "POST /frontend_proj/admin/saveorupdateproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:13 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 6846
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:13 +0530] "GET /frontend_proj/all/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:13 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:14 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:14 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:14 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:14 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:38 +0530] "GET /frontend_proj/admin/getproductform HTTP/1.1" 200 5463
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:38 +0530] "GET /frontend_proj/admin/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:06:38 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:08:30 +0530] "POST /frontend_proj/admin/saveorupdateproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:08:30 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 7572
