127.0.0.1 - - [09/Oct/2018:22:59:07 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Oct/2018:22:59:49 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [09/Oct/2018:22:59:49 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [09/Oct/2018:22:59:49 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:22:59:49 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:22:59:49 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [09/Oct/2018:22:59:49 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [09/Oct/2018:22:59:50 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [09/Oct/2018:22:59:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:03:15 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5974
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:03:15 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:03:15 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:03:15 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:03:15 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:03:15 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:03:49 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:03:49 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
